City_ID,City_Code,Max_Flow,Demand
1,C_1,52.000000,52.000000
2,C_2,515.000000,515.000000
3,C_3,110.000000,160.000000
4,C_4,1208.000000,1208.000000
5,C_5,125.000000,152.000000
6,C_6,230.000000,230.000000
7,C_7,896.000000,896.000000
8,C_8,100.000000,122.000000
9,C_9,53.000000,53.000000
10,C_10,220.000000,313.000000
11,C_11,407.000000,407.000000
12,C_12,177.000000,177.000000
13,C_13,123.000000,158.000000
14,C_14,406.000000,406.000000
15,C_15,12250.000000,12250.000000
16,C_16,96.000000,96.000000
17,C_17,5650.000000,6324.000000
18,C_18,200.000000,200.000000
19,C_19,780.000000,780.000000
20,C_20,100.000000,168.000000
21,C_21,135.000000,161.000000
22,C_22,330.000000,397.000000
